Collection,Number,Species,Ecomorph,Ground,Region,SVL,TL,HL,SL,HW,Humerus,Radius,Hand,Femur,Tibia,Foot,Finger.III.W,Toe.III.W
USNM,221154,krugi,Grass Bush,Grass Bush,Caribbean,52.3,,15.8,7,9.2,7.5,7.1,8.2,12,14.4,19.6,1.1,1.4
USNM,565448,laeviventris,Mainland,Mainland,Mainland,41.5,74.4,11,4.9,7.1,5,5.3,6.8,7.3,8.6,12,0.9,1.1
USNM,326145,lemurinus,Mainland,Mainland,Mainland,48.3,103.6,12.8,5.4,8.2,8.2,7.5,8.9,12.2,13.8,19.6,0.9,1
USNM,326142,lemurinus,Mainland,Mainland,Mainland,51.9,119.9,13.7,6.2,8.6,8.6,7.8,9.5,13.2,15.5,20.4,0.9,1
USNM,244558,lineatopus,Trunk Ground,Trunk Ground,Caribbean,54.2,96.2,16.3,7.7,8.9,9.3,8.5,8.5,12.4,14,20.2,0.9,1.1
USNM,244557,lineatopus,Trunk Ground,Trunk Ground,Caribbean,65,100.8,19.5,9.6,11,10,9.5,10.8,14.6,17.2,23.1,1.2,1.6
USNM,337589,lineatopus,Trunk Ground,Trunk Ground,Caribbean,65.7,136.9,19.2,8.7,10.6,10.2,9.7,10.1,14.4,17.9,22.8,1.2,1.6
USNM,337588,lineatopus,Trunk Ground,Trunk Ground,Caribbean,66.3,133.8,20.9,9.7,10.8,10.2,10.1,9.5,14.9,17.9,22.2,1.1,1.6
USNM,266295,lineatus,Mainland,Mainland,Mainland,72.3,144.4,17.9,8.2,10,10.1,10.4,10.6,15.3,18.9,22.2,1.1,1.5
USNM,266293,lineatus,Mainland,Mainland,Mainland,86,130.5,22.6,10,12.7,13.8,15.3,13.4,19.1,24.4,27.6,1.5,1.9
USNM,304814,liogaster,Mainland,Mainland,Mainland,53.7,108.1,15.3,6.9,10,7.3,7.7,9.9,13,13.8,19.1,1.3,1.6
USNM,589683,litoralis,Unknown,Unknown,Caribbean,38.93,80.69,10.87,4.71,6.77,5.18,5.19,5.29,6.63,7.5,11.02,0.76,0.95
USNM,549615,longiceps,Trunk Crown,Trunk Crown,Caribbean,72.07,157.67,22.9,12.84,11.09,10.55,10.06,9.68,14.18,16.45,21,1.76,2.17
USNM,314386,longitibialis,Unknown,Unknown,Caribbean,67.13,146.35,20.66,9.36,12.24,11.85,12.53,10.93,17.98,19.64,23.93,1.54,1.8
USNM,314383,longitibialis,Unknown,Unknown,Caribbean,69.83,133,20.69,9.23,12.42,13.38,13.52,12.13,18.35,20.52,24.38,1.59,1.81
USNM,314375,longitibialis,Unknown,Unknown,Caribbean,70.55,138.46,21.8,9.97,13.06,13.13,14.49,12.63,20.83,22.1,26.9,1.44,1.85
USNM,314382,longitibialis,Unknown,Unknown,Caribbean,70.93,,22.09,9.95,13.32,13.26,13.88,12.47,20.09,21.7,25.52,1.53,1.84
USNM,578758,loveridgei,Mainland,Mainland,Mainland,116.8,237,33.9,16.2,20.5,15,17.7,23.9,28.1,31.5,43.4,2.6,2.9
USNM,498028,loysianus,Trunk,Trunk,Caribbean,38.23,48.76,10.8,4.79,6.6,5.99,5.76,6.55,7.22,7.79,11.31,0.84,
MCZ,74036,loysianus,Trunk,Trunk,Caribbean,39.33,,11.88,5.11,6.96,5.56,6.13,6.78,7.59,7.9,11.65,0.95,1.02
CAS,39300,lucius,Unknown,Unknown,Caribbean,52.9,104.5,15.2,7.2,9.6,8,8.8,9.9,11.8,16.1,20.3,1.4,1.6
